Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco,Codice ATECO 2025,Descrizione ATECO 2025,Codice ATECO Primario,Descrizione ATECO Primario
586,PELLICONI & C. SPA,00502181209,,25.92,Fabbricazione di imballaggi in metallo leggero,25.92,Fabbricazione di imballaggi leggeri in metallo
596,NUOVA STAR SPA,00503761207,,25.62,Fabbricazione di serrature e cerniere,25.72,Fabbricazione di serrature e cerniere
599,ELCOS SRL,00956190383,,33.20.09,Installazione di altre macchine e apparecchiature industriali,33.20.02,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici)"
619,AWETA SISTEMI  SPA,01075420404,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
624,SACMI FORNI & FILTER  SP,03875981205,,28.21.1,Fabbricazione di forni,28.21.1,"Fabbricazione di forni, fornaci e bruciatori"
636,S.T.M.  SPA,00525721205,,28.15,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione",28.15.1,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)"
653,DIMA  SRL,01537310367,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
664,ELETTROKEY  SAS,00742570351,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
669,PARTENA SPA,00565150372,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
677,B.MATIC SRL,02721901201,,28.99.1,Fabbricazione di macchine per la stampa e la legatoria,28.99.1,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori)
678,ELTEC DI GRASSELLI MARCO,01305840355,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
685,FARMFRONT SPA,01294030364,,28.30.9,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura,28.30.9,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
699,NEXION  SPA,01700320359,,28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature per il bilanciamento,28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento
708,AUTIN SRL,00707321204,,46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.,46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione n.c.a."
710,SANMARINO ELETTRONICA,SM29528,,,,,
724,M.C. AUTOMATIONS SRL,01511431205,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
737,SYSTEM LOGISTICS SPA,03665250365,,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
751,T.C.M.  DI COVEZZI G.C.,01970120364,,28.22,Fabbricazione di apparecchi di sollevamento e movimentazione,28.22,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
754,GENERAL IMPIANTI SRL,01073910422,,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
758,F.A.M.A.C. SNC,00052650389,,None,,31.01.22,
774,PIERI SRL,01228090401,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
794,FRAMAR SRL,01286400369,,28.42,Fabbricazione di altre macchine utensili,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) n.c.a.
809,CASALIN SRL,00607871209,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
817,SITI - B&T GROUP  SPA,02071130369,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
825,SIPLA SRL,01733741209,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
830,PENNELLIFICIO OMEGA SPA,02116670379,,32.91,Fabbricazione di scope e spazzole,32.91,Fabbricazione di scope e spazzole
831,AIRLESS ITALIA  SRL,03199190368,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
834,O.M.M.A. PACK SRL,00625011200,,25.53,Lavori di meccanica generale dei metalli,25.62,Lavori di meccanica generale
838,SERVOMECH  SPA,02848481202,,28.15,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione",28.15.1,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)"
839,ANTEO SPA,00707441200,,25.53,Lavori di meccanica generale dei metalli,25.62,Lavori di meccanica generale
855,GM3   SRL,02851771200,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
859,ORSI GROUP SRL,03049991205,,28.30.9,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura,28.30.9,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
878,C.E.E.I.  SRL,01537781203,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
884,SEGAFREDO ZANETTI SPA,00526881206,,10.83.02,Lavorazione di caffè,10.83.01,Lavorazione del caffè
892,ELETTROMECCANICA N.T. SR,00188000350,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
897,TESANI E SAMMARCHI SRL,00674761200,,25.4,Fucinatura e formatura dei metalli e metallurgia delle polveri,25.5,"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI"
905,ICOTET    SRL,01784250365,,33.20.01,"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo della elettricità",33.20.01,"Installazione di motori, generatori e trasformatori elettrici; di apparecchiature per la distribuzione e il controllo dell'elettricità (esclusa l'installazione all'interno degli edifici)"
908,B.D.P.  SRL   - UNIPERSO,02793851201,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
909,PACTUR SRL,01530801206,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
911,INFOMOTION  SRL,02294780362,,62.1,Attività di programmazione informatica,62.01,Produzione di software non connesso all'edizione
912,L.C.  AUTOMAZIONE,02878671201,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
919,NORBLAST  SRL,02311131201,,28.42,Fabbricazione di altre macchine utensili,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) n.c.a.
925,ENGIN PLAST  SRL,01515370383,,28.29.9,Fabbricazione di altre macchine varie di impiego generale,28.29.9,Fabbricazione di macchine di impiego generale ed altro materiale meccanico n.c.a.
930,REMET SAS,00391750411,,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
931,MECBO SRL,00508751203,,28.92,"Fabbricazione di macchine da miniera, cava e cantiere",28.92.09,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)"
935,MIX  SRL   -  UNIPERSONA,01955050362,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
938,LANCIA SRL,02000810362,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
945,DIERRE SPA,03665190363,,25.11,Fabbricazione di strutture metalliche e di parti di strutture metalliche,25.11,Fabbricazione di strutture metalliche e di parti di strutture
947,ELFI SPA    (35),02698210404,,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi",46.47.3,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
957,PIZZATO ELETTRICA SRL,01704080249,,26.11,Fabbricazione di componenti elettronici,26.11.09,Fabbricazione di altri componenti elettronici
967,PEI VM SRL,02886271200,,74.99.99,"Tutte le altre attività varie professionali, scientifiche e tecniche n.c.a.",74.90.99,Altre attività professionali n.c.a.
972,PELLICONI ABRUZZO SRL,01485820698,,25.92,Fabbricazione di imballaggi in metallo leggero,25.92,Fabbricazione di imballaggi leggeri in metallo
973,PENTATECH SRL,02277210395,,28.95,Fabbricazione di macchine per l'industria della carta e del cartone,28.95,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
986,SIR SPA,02690180365,,28.99.2,Fabbricazione di robot industriali con compiti multipli per scopi speciali,28.99.2,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)
1005,I.T. TECHNOLOGIES  SRL,02653790366,,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)"
1008,ELETTROMECC.FORLIVESE,01732150402,,32.50.5,Fabbricazione di altri strumenti e forniture mediche e dentistiche,32.50.1,"Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)"
1010,ALVE SRL,03237200369,,28.94.1,Fabbricazione di macchine tessili,28.94.1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
1016,UNITECH  SRL,03894120363,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
1017,ZEPHIR  SPA,00262550361,,29.1,Fabbricazione di autoveicoli,29.1,FABBRICAZIONE DI AUTOVEICOLI
1031,SELENE  SRL,01279530503,,26.2,Fabbricazione di computer e unità periferiche,26.2,FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE
1035,FLODRAULIC INDUSTRIAL SR,00592061204,,28.12,Fabbricazione di apparecchiature fluidodinamiche,28.12,Fabbricazione di apparecchiature fluidodinamiche
1052,DMC SRL,01965780354,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1057,UNITEC  SPA,01090820398,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
1063,SENSORLINE AUTOMATION  S,04271900377,,46.50.2,Commercio all'ingrosso di apparecchiature per telecomunicazioni,46.52.09,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici
1087,SORMA SPA,00284630407,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1089,GN MED  SRL,01230930396,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
1092,DOTECO  SPA,02211350364,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1094,GALMAR SAS  DI GALLETTI,00550891204,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
1098,EMMEGI SPA,01978870366,,28.41,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,28.41,Fabbricazione di macchine utensili per la formatura dei metalli
1102,MGF SAS DI MARCUZZI ANDR,09856360012,,26.11,Fabbricazione di componenti elettronici,26.11.09,Fabbricazione di altri componenti elettronici
1113,B.L. MEDITERRANEO  SRL,02598631204,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1137,DINAMIC OIL SPA  a socio,01678080365,,28.11.2,Fabbricazione di turbine,28.11.2,Fabbricazione di turbine e turboalternatori (incluse parti e accessori)
1140,NEXT HYDRAULICS SRL,01364450351,,28.22,Fabbricazione di apparecchi di sollevamento e movimentazione,28.22,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione
1155,ARTIGLIO  SPA,01583560360,,28.42,Fabbricazione di altre macchine utensili,28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) n.c.a.
1158,SAIMEC  SRL,01839560347,,28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",28.93,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco"
1160,CATELLANI TECNO FORN.ELE,00260720354,,46.64.2,Commercio all'ingrosso di materiale elettrico per impianti industriali,46.69.2,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
1162,PRIMA FOLDER SRL,02202160392,,28.94.3,Fabbricazione di macchine per lavanderie e stirerie,28.94.3,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori)
1166,MANFREDINI F.LLI SNC,00676771207,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
1173,TECNOPROGET SAS DI NANNI,01664671201,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
1179,G.N.A.  SRL,00653341206,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1187,ATLANTA SPA,02144141203,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1190,GIUGNI SRL,02656780364,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1192,TECNA SPA,00632201208,,27.90.01,Fabbricazione di apparecchiature elettriche per saldatura e brasatura,27.90.01,Fabbricazione di apparecchiature elettriche per saldature e brasature
1198,IMELETTRA  BOGUARD SAS,04134090374,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
1200,TECNOMAC  GROUP  SRL,04534160405,,46.62,Commercio all'ingrosso di macchine utensili,46.62,Commercio all'ingrosso di macchine utensili
1207,EFFEPI SNC,00529591208,,28.14,Fabbricazione di altri rubinetti e valvole,28.14,Fabbricazione di altri rubinetti e valvole
1212,T.S.A. TECN. SPEC. APPLI,00619671209,,28.42,Fabbricazione di altre macchine utensili,28.49,Fabbricazione di altre macchine utensili
1214,A.E.P.I. INDUSTRIE  SRL,03236891200,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
1222,CYBER SRL,00807770383,,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,28.22.09,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione
1225,TOPJET SPA,01972520363,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1240,CLARI  ROBERTA,01925181206,,46.50.2,Commercio all'ingrosso di apparecchiature per telecomunicazioni,46.52.09,Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici
1249,BETTATI ANTINCENDIO SRL,01979170352,,43.22.03,Installazione di impianti di spegnimento di incendi,43.22.03,Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione)
1272,UNIVERSAL PACK SRL,02209430400,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1278,G.S. ELETTROFORN. DI SAB,01175700432,,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi",46.47.3,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
1289,MEBER  SRL,01360420366,,28.42,Fabbricazione di altre macchine utensili,28.49,Fabbricazione di altre macchine utensili
1315,TECNOSERVICE SNC,02841630367,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
1319,VN SYSTEM  SAS,02238910414,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
1323,M.D.L.  ENGINEERING  SRL,03004831206,,28.41,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,28.41,Fabbricazione di macchine utensili per la formatura dei metalli
1332,BERGAMI PACKAGING SOLUTI,03421871207,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1335,SELIN PROJECTS SRL,01629731207,,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)"
1343,MEC 2000 SRL,01619441205,,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.
1346,CURTI COST.MECCANICHE SP,00081590390,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1348,BNB  SRL,03237220367,,28.94.1,Fabbricazione di macchine tessili,28.94.1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
1377,N.S. SISTEMI & SERVIZI S,02782780361,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
1382,QUBIEMME TECNOLOGIE SRL,02440020358,,27,Fabbricazione di apparecchiature elettriche,27,FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE
1389,STETON SRL,03461610366,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
1409,GUERRA ROMANO  & C. SNC,01553221209,,25.4,Fucinatura e formatura dei metalli e metallurgia delle polveri,25.5,"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI"
1421,BERMA MACCHINE SRL (a so,00834321200,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
1422,COMER  SRL,04088760378,,46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.,46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione n.c.a."
1423,IACEC SNC,02091030391,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
1436,BMC SRL,03049571205,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
1438,HOBBY GARDEN PETUCCO SRL,02408900351,,47.52.4,Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica,47.52.4,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio"
1443,F.LLI RINALDI SRL,00344630363,,28.42,Fabbricazione di altre macchine utensili,28.49,Fabbricazione di altre macchine utensili
1447,OBER SPA,00513531202,,28.24,Fabbricazione di utensili portatili a motore,28.24,Fabbricazione di utensili portatili a motore
1463,RIGHI ELETTROSERVIZI SPA,03252650407,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
1465,AIR POWER GROUP SRL,01906390354,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
1467,V2 ENGINEERING  SRL,00688101203,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1476,LB OFF.MECCANICHE SPA,00218570364,,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,28.99.99,Fabbricazione di altre macchine ed attrezzature per impieghi speciali n.c.a. (incluse parti e accessori)
1483,KAERCHER FLOOR CARE SRL,00265160358,,28.29.41,"Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico",28.29.92,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico
1484,IMAS AEROMECCANICA SRL -,00677141202,,28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi,28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico
1490,BRIGHI TECNOLOGIE ITALIA,01796910402,,28.94.1,Fabbricazione di macchine tessili,28.94.1,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)"
1503,NUOVA ALCE SRL,02288730357,,28.9,Fabbricazione di altre macchine per impieghi speciali,28.9,FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI
1507,ERREBI  SRL,02253741207,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1516,ALESSANDRO GARBIN SRL,03650730371,,46.17.07,Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi,46.17.07,Agenti e rappresentanti di altri prodotti alimentari (incluse le uova e gli alimenti per gli animali domestici); tabacco
1522,UPB  SRL,01650391202,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1555,FOR.PLAST SAS,01674351208,,33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.,33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a. (incluse le macchine utensili)
1568,CO.FIN ELETTRONICA SRL,01202140354,,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)"
1586,G.F.T.  AUTOMAZIONI  SRL,02703880365,,28.29.3,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",28.29.3,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)"
1597,S.I.A. DI ANGELO PANARES,01654091204,,62.1,Attività di programmazione informatica,62.01,Produzione di software non connesso all'edizione
1607,IM.VA  SRL,02568040360,,25.12.1,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli in metallo",25.12.1,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici"
